时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:28:53.903Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0122,-0.1060,1.0098,3.17,-14.28,-5.80,-6.33,0.87,54.89
"2025-05-23T07:28:53.976Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3091,0.9390,0.0537,21.73,0.73,-4.03,85.11,18.87,-39.02
"2025-05-23T07:28:53.978Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9365,-0.2124,0.2734,-2.56,4.33,0.79,-40.61,70.06,-136.77
"2025-05-23T07:28:53.979Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0869,0.8999,0.3071,22.83,2.87,-4.21,72.32,-3.58,-26.15
"2025-05-23T07:28:53.980Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.0464,-0.1436,0.9966,2.08,-14.04,-9.40,-6.20,0.08,54.59
"2025-05-23T07:28:53.984Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3174,0.6299,0.7056,-3.72,5.13,-9.95,39.52,15.31,131.11
"2025-05-23T07:28:53.985Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2598,0.9268,0.0049,32.10,-6.23,-0.49,86.43,18.92,-39.21
"2025-05-23T07:28:53.986Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0435,0.0210,1.0303,4.46,9.40,2.26,1.04,0.36,-99.99
"2025-05-23T07:28:53.988Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9331,-0.2231,0.2681,-1.89,7.75,1.04,-41.13,70.35,-137.30
"2025-05-23T07:28:53.988Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0659,0.9546,0.3569,28.93,2.32,-2.26,73.64,-3.42,-26.25
"2025-05-23T07:28:53.989Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0474,0.0190,1.0225,4.88,13.85,0.31,1.29,0.95,-99.91
"2025-05-23T07:28:53.991Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2705,0.6133,0.7656,-2.38,1.53,-5.98,39.31,15.67,130.81
"2025-05-23T07:28:53.992Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.0269,-0.1064,1.0288,5.74,-14.40,-5.19,-6.01,-0.66,54.16
"2025-05-23T07:28:53.997Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0146,0.9937,0.3516,29.24,2.01,0.55,75.18,-3.28,-26.29
"2025-05-23T07:28:54.105Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0029,0.0156,1.0322,5.13,18.49,-2.20,1.54,1.80,-99.96
"2025-05-23T07:28:54.201Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2314,0.6235,0.7339,-2.38,4.82,-12.88,39.12,16.06,130.57
"2025-05-23T07:28:54.202Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3594,0.9673,0.1289,31.86,10.80,-6.47,88.21,19.08,-39.03
"2025-05-23T07:28:54.203Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9390,-0.2217,0.2632,-2.56,13.24,-0.06,-42.28,70.77,-138.39
"2025-05-23T07:28:54.207Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0435,0.9370,0.2852,30.40,-8.30,0.06,76.53,-3.34,-26.17
"2025-05-23T07:28:54.344Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.1147,-0.0884,1.0371,3.78,-17.88,-8.48,-5.72,-1.53,54.09
"2025-05-23T07:28:54.345Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.0645,0.0396,1.0122,6.71,20.20,-2.81,1.83,2.79,-100.15
"2025-05-23T07:28:54.346Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3027,0.5820,0.7466,-1.04,3.23,-21.85,38.86,16.79,129.94
"2025-05-23T07:28:54.347Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3105,0.9141,0.0703,30.09,-3.48,-2.50,89.73,19.36,-39.05
"2025-05-23T07:28:54.348Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9282,-0.2236,0.2407,-2.99,13.73,0.00,-43.80,71.30,-139.89
"2025-05-23T07:28:54.348Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.0146,-0.0820,1.0093,3.17,-18.19,-22.71,-5.58,-2.49,53.33
"2025-05-23T07:28:54.349Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3081,0.9556,-0.0098,35.83,-10.07,-5.49,91.37,19.52,-39.64
