时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:32:45.063Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1289,-0.1436,1.0049,-5.31,-2.14,-1.34,-13.41,-7.40,51.60
"2025-05-23T07:32:45.064Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1343,1.0703,-0.1221,6.84,18.07,-0.24,97.11,11.81,-140.15
"2025-05-23T07:32:45.065Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.0249,-0.3306,0.1782,-17.88,88.56,8.30,-126.84,79.32,150.21
"2025-05-23T07:32:45.065Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0444,1.1133,0.0073,65.67,41.56,8.12,99.71,-3.00,-46.55
"2025-05-23T07:32:45.066Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1348,-0.2847,1.0029,-1.59,-7.02,32.35,-13.63,-7.40,52.51
"2025-05-23T07:32:45.066Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.3613,0.2295,1.0244,27.34,79.22,2.44,17.83,22.20,-101.04
"2025-05-23T07:32:45.067Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3735,0.6631,0.6729,-7.45,20.81,19.47,43.34,22.49,37.85
"2025-05-23T07:32:45.068Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3442,0.8569,-0.1802,-4.70,23.62,2.81,96.99,11.67,-139.14
"2025-05-23T07:32:45.069Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.0259,-0.2808,0.0825,2.75,72.02,4.33,-141.59,76.70,135.40
"2025-05-23T07:32:45.070Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0581,0.9863,-0.2285,63.17,21.00,2.20,102.58,-3.67,-44.87
"2025-05-23T07:32:45.070Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2651,0.2095,1.0215,19.41,61.46,-3.48,19.25,25.44,-100.17
"2025-05-23T07:32:45.071Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3853,0.5391,0.7505,10.01,-6.29,-11.17,43.58,22.59,38.27
"2025-05-23T07:32:45.071Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.1206,1.0205,-0.0513,49.32,39.12,3.85,105.45,-4.06,-43.78
"2025-05-23T07:32:45.072Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1860,-0.1094,0.9917,-3.23,-2.56,-14.59,-13.91,-7.58,53.17
"2025-05-23T07:32:45.180Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2153,0.2813,0.8945,5.62,54.87,13.37,20.52,28.12,-98.85
"2025-05-23T07:32:45.297Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4048,0.8789,0.5571,12.21,-8.67,-13.37,43.71,22.77,37.22
"2025-05-23T07:32:45.298Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1841,1.0767,-0.1299,0.12,-9.52,1.59,97.16,11.50,-139.30
"2025-05-23T07:32:45.299Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1680,-0.3975,1.0454,-9.34,3.36,-10.56,-13.97,-7.86,52.25
"2025-05-23T07:32:45.300Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.8774,-0.1846,0.2070,-20.39,75.07,12.76,-150.80,73.88,126.03
"2025-05-23T07:32:45.301Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.2192,0.8901,-0.1504,40.95,41.44,0.06,107.59,-4.60,-42.04
"2025-05-23T07:32:45.302Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.3398,0.4766,0.8354,-2.14,56.76,97.47,22.52,29.71,-94.87
"2025-05-23T07:32:45.303Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3477,0.5713,0.7539,7.81,-2.08,-6.96,43.90,22.80,37.21
"2025-05-23T07:32:45.303Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1152,0.9121,-0.0459,-6.29,8.79,3.30,96.99,11.34,-139.54
"2025-05-23T07:32:45.304Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9595,-0.0020,-0.2300,-84.05,61.40,19.29,-160.92,71.04,118.10
"2025-05-23T07:32:45.305Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.0977,-0.0640,1.0239,-5.31,-1.16,-10.13,-14.24,-7.82,52.29
"2025-05-23T07:32:45.305Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1606,1.0781,-0.0322,-1.22,2.38,-1.28,97.06,11.28,-139.76
"2025-05-23T07:32:45.307Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.8413,-0.0762,-0.0396,-95.34,21.61,20.87,-169.29,70.18,114.47
"2025-05-23T07:32:45.308Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.1597,0.9844,-0.2393,32.41,83.92,10.44,109.26,-6.11,-38.77
